id,Season,team1,team2,winner,venue,player_of_match
229,IPL-2010,Deccan Chargers,Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,A Symonds
230,IPL-2010,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens,M Kartik
231,IPL-2010,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Dr DY Patil Sports Academy,KA Pollard
232,IPL-2010,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,Dr DY Patil Sports Academy,DE Bollinger
233,IPL-2010,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,Dr DY Patil Sports Academy,A Kumble
234,IPL-2010,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Dr DY Patil Sports Academy,SK Raina
235,IPL-2011,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",S Anirudha
236,IPL-2011,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",SK Trivedi
237,IPL-2011,Kochi Tuskers Kerala,Royal Challengers Bangalore,Royal Challengers Bangalore,Nehru Stadium,AB de Villiers
238,IPL-2011,Delhi Daredevils,Mumbai Indians,Mumbai Indians,Feroz Shah Kotla,SL Malinga
239,IPL-2011,Kings XI Punjab,Pune Warriors,Pune Warriors,Dr DY Patil Sports Academy,SB Wagh
240,IPL-2011,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Eden Gardens,JH Kallis
241,IPL-2011,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium,SK Warne
242,IPL-2011,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,M Chinnaswamy Stadium,SR Tendulkar
243,IPL-2011,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",PC Valthaty
244,IPL-2011,Kochi Tuskers Kerala,Pune Warriors,Pune Warriors,Dr DY Patil Sports Academy,MD Mishra
245,IPL-2011,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",DW Steyn
246,IPL-2011,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Sawai Mansingh Stadium,G Gambhir
247,IPL-2011,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Wankhede Stadium,BB McCullum
248,IPL-2011,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",MEK Hussey
249,IPL-2011,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",PC Valthaty
250,IPL-2011,Pune Warriors,Delhi Daredevils,Delhi Daredevils,Dr DY Patil Sports Academy,Yuvraj Singh
251,IPL-2011,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens,L Balaji
252,IPL-2011,Chennai Super Kings,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Nehru Stadium,BB McCullum
253,IPL-2011,Deccan Chargers,Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,S Sohal
254,IPL-2011,Pune Warriors,Mumbai Indians,Mumbai Indians,Wankhede Stadium,MM Patel
255,IPL-2011,Kochi Tuskers Kerala,Kolkata Knight Riders,Kochi Tuskers Kerala,Eden Gardens,DPMD Jayawardene
256,IPL-2011,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",SE Marsh
257,IPL-2011,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Harbhajan Singh
258,IPL-2011,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Eden Gardens,CH Gayle
259,IPL-2011,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla,DA Warner
260,IPL-2011,Mumbai Indians,Deccan Chargers,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",SL Malinga
261,IPL-2011,Kochi Tuskers Kerala,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium,SK Warne
262,IPL-2011,Chennai Super Kings,Pune Warriors,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",MEK Hussey
263,IPL-2011,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Feroz Shah Kotla,V Kohli
264,IPL-2011,Pune Warriors,Chennai Super Kings,Chennai Super Kings,Dr DY Patil Sports Academy,DE Bollinger
265,IPL-2011,Deccan Chargers,Kochi Tuskers Kerala,Deccan Chargers,Nehru Stadium,I Sharma
266,IPL-2011,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,MK Tiwary
267,IPL-2011,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium,J Botha
268,IPL-2011,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,M Chinnaswamy Stadium,V Kohli
269,IPL-2011,Delhi Daredevils,Kochi Tuskers Kerala,Delhi Daredevils,Nehru Stadium,V Sehwag
270,IPL-2011,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens,Iqbal Abdulla
271,IPL-2011,Pune Warriors,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium,LRPL Taylor
272,IPL-2011,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",JA Morkel
273,IPL-2011,Mumbai Indians,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,KA Pollard
274,IPL-2011,Delhi Daredevils,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Feroz Shah Kotla,P Parameswaran
275,IPL-2011,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",YK Pathan
276,IPL-2011,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",MEK Hussey
277,IPL-2011,Mumbai Indians,Pune Warriors,Mumbai Indians,Dr DY Patil Sports Academy,R Sharma
278,IPL-2011,Kochi Tuskers Kerala,Kolkata Knight Riders,Kochi Tuskers Kerala,Nehru Stadium,BJ Hodge
279,IPL-2011,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",V Sehwag
280,IPL-2011,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,M Chinnaswamy Stadium,CH Gayle
281,IPL-2011,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens,Iqbal Abdulla
282,IPL-2011,Mumbai Indians,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,AT Rayudu
283,IPL-2011,Kochi Tuskers Kerala,Royal Challengers Bangalore,Royal Challengers Bangalore,M Chinnaswamy Stadium,CH Gayle
284,IPL-2011,Kings XI Punjab,Pune Warriors,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",R Sharma
285,IPL-2011,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,M Vijay
286,IPL-2011,Deccan Chargers,Pune Warriors,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",MR Marsh
287,IPL-2011,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",BA Bhatt
288,IPL-2011,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Sawai Mansingh Stadium,S Aravind
289,IPL-2011,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",MS Dhoni
290,IPL-2011,Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab,Holkar Cricket Stadium,KD Karthik
291,IPL-2011,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,M Chinnaswamy Stadium,CH Gayle
292,IPL-2011,Deccan Chargers,Mumbai Indians,Deccan Chargers,Wankhede Stadium,A Mishra
293,IPL-2011,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,PP Chawla
294,IPL-2011,Rajasthan Royals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Holkar Cricket Stadium,BJ Hodge
295,IPL-2011,Pune Warriors,Deccan Chargers,Deccan Chargers,Dr DY Patil Sports Academy,A Mishra
296,IPL-2011,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,AC Gilchrist
297,IPL-2011,Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",WP Saha
298,IPL-2011,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,Dr DY Patil Sports Academy,YK Pathan
299,IPL-2011,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Wankhede Stadium,SR Watson
300,IPL-2011,Deccan Chargers,Kings XI Punjab,Deccan Chargers,Himachal Pradesh Cricket Association Stadium,S Dhawan
301,IPL-2011,Delhi Daredevils,Pune Warriors,,Feroz Shah Kotla,
302,IPL-2011,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,M Chinnaswamy Stadium,CH Gayle
303,IPL-2011,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Eden Gardens,JEC Franklin
304,IPL-2011,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Wankhede Stadium,SK Raina
305,IPL-2011,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Wankhede Stadium,MM Patel
306,IPL-2011,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",CH Gayle
307,IPL-2011,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",M Vijay
308,IPL-2012,Chennai Super Kings,Mumbai Indians,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",RE Levi
309,IPL-2012,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,Eden Gardens,IK Pathan
310,IPL-2012,Pune Warriors,Mumbai Indians,Pune Warriors,Wankhede Stadium,SPD Smith
311,IPL-2012,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,AM Rahane
312,IPL-2012,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,M Chinnaswamy Stadium,AB de Villiers
313,IPL-2012,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,RA Jadeja
314,IPL-2012,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,BJ Hodge
315,IPL-2012,Pune Warriors,Kings XI Punjab,Pune Warriors,Subrata Roy Sahara Stadium,MN Samuels
316,IPL-2012,Deccan Chargers,Mumbai Indians,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,RG Sharma
317,IPL-2012,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,L Balaji
318,IPL-2012,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,Feroz Shah Kotla,M Morkel
319,IPL-2012,Mumbai Indians,Rajasthan Royals,Mumbai Indians,Wankhede Stadium,KA Pollard
320,IPL-2012,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",F du Plessis
321,IPL-2012,Pune Warriors,Kings XI Punjab,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",AD Mascarenhas
322,IPL-2012,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens,Shakib Al Hasan
323,IPL-2012,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,Feroz Shah Kotla,KP Pietersen
324,IPL-2012,Chennai Super Kings,Pune Warriors,Pune Warriors,Subrata Roy Sahara Stadium,JD Ryder
325,IPL-2012,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,SP Narine
326,IPL-2012,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,AM Rahane
327,IPL-2012,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Wankhede Stadium,S Nadeem
328,IPL-2012,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium,BJ Hodge
329,IPL-2012,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore,M Chinnaswamy Stadium,CH Gayle
330,IPL-2012,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",G Gambhir
331,IPL-2012,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",DA Warner
332,IPL-2012,Chennai Super Kings,Pune Warriors,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",KMDN Kulasekara
333,IPL-2012,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",CH Gayle
334,IPL-2012,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",F du Plessis
335,IPL-2012,Pune Warriors,Delhi Daredevils,Pune Warriors,Feroz Shah Kotla,SC Ganguly
336,IPL-2012,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,Wankhede Stadium,SE Marsh
337,IPL-2012,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Barabati Stadium,B Lee
338,IPL-2012,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,AB de Villiers
339,IPL-2012,Pune Warriors,Delhi Daredevils,Delhi Daredevils,Subrata Roy Sahara Stadium,V Sehwag
340,IPL-2012,Kings XI Punjab,Mumbai Indians,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",AT Rayudu
341,IPL-2012,Deccan Chargers,Pune Warriors,Deccan Chargers,Subrata Roy Sahara Stadium,CL White
342,IPL-2012,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,Feroz Shah Kotla,V Sehwag
343,IPL-2012,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Mandeep Singh
344,IPL-2012,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,G Gambhir
345,IPL-2012,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,V Sehwag
346,IPL-2012,Deccan Chargers,Mumbai Indians,Mumbai Indians,Wankhede Stadium,DW Steyn
347,IPL-2012,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",G Gambhir
348,IPL-2012,Deccan Chargers,Pune Warriors,Deccan Chargers,Barabati Stadium,KC Sangakkara
349,IPL-2012,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Sawai Mansingh Stadium,P Negi
350,IPL-2012,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,M Chinnaswamy Stadium,Azhar Mahmood
351,IPL-2012,Mumbai Indians,Pune Warriors,Mumbai Indians,Subrata Roy Sahara Stadium,SL Malinga
352,IPL-2012,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",SK Raina
353,IPL-2012,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,Eden Gardens,SP Narine
354,IPL-2012,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",SR Watson
355,IPL-2012,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Wankhede Stadium,DR Smith
356,IPL-2012,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,M Chinnaswamy Stadium,AB de Villiers
357,IPL-2012,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Feroz Shah Kotla,JH Kallis
358,IPL-2012,Pune Warriors,Rajasthan Royals,Rajasthan Royals,Subrata Roy Sahara Stadium,SR Watson
359,IPL-2012,Kings XI Punjab,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Mandeep Singh
360,IPL-2012,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Wankhede Stadium,CH Gayle
361,IPL-2012,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Sawai Mansingh Stadium,BW Hilfenhaus
362,IPL-2012,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,Subrata Roy Sahara Stadium,CH Gayle
363,IPL-2012,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,RG Sharma
364,IPL-2012,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",BW Hilfenhaus
365,IPL-2012,Rajasthan Royals,Pune Warriors,Rajasthan Royals,Sawai Mansingh Stadium,A Chandila
366,IPL-2012,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",DJ Hussey
367,IPL-2012,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,M Chinnaswamy Stadium,AT Rayudu
368,IPL-2012,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Eden Gardens,MEK Hussey
369,IPL-2012,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Feroz Shah Kotla,UT Yadav
370,IPL-2012,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,SP Narine
371,IPL-2012,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,AC Gilchrist
372,IPL-2012,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,CH Gayle
373,IPL-2012,Rajasthan Royals,Deccan Chargers,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",DW Steyn
374,IPL-2012,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,UT Yadav
375,IPL-2012,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,Subrata Roy Sahara Stadium,Shakib Al Hasan
376,IPL-2012,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",DW Steyn
377,IPL-2012,Rajasthan Royals,Mumbai Indians,Mumbai Indians,Sawai Mansingh Stadium,DR Smith
378,IPL-2012,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Subrata Roy Sahara Stadium,YK Pathan
379,IPL-2012,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,M Chinnaswamy Stadium,MS Dhoni
380,IPL-2012,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",M Vijay
381,IPL-2012,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",MS Bisla
382,IPL-2013,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens,SP Narine
383,IPL-2013,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,CH Gayle
384,IPL-2013,Sunrisers Hyderabad,Pune Warriors,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",A Mishra
385,IPL-2013,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,R Dravid
386,IPL-2013,Mumbai Indians,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",KA Pollard
387,IPL-2013,Pune Warriors,Kings XI Punjab,Kings XI Punjab,Subrata Roy Sahara Stadium,M Vohra
388,IPL-2013,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",GH Vihari
389,IPL-2013,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,SK Trivedi
390,IPL-2013,Mumbai Indians,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,KD Karthik
391,IPL-2013,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",MEK Hussey
392,IPL-2013,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,M Chinnaswamy Stadium,CH Gayle
393,IPL-2013,Rajasthan Royals,Pune Warriors,Pune Warriors,Subrata Roy Sahara Stadium,AJ Finch
394,IPL-2013,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,Feroz Shah Kotla,A Mishra
395,IPL-2013,Mumbai Indians,Pune Warriors,Mumbai Indians,Wankhede Stadium,RG Sharma
396,IPL-2013,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",RA Jadeja
397,IPL-2013,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,G Gambhir
398,IPL-2013,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium,JP Faulkner
399,IPL-2013,Pune Warriors,Chennai Super Kings,Pune Warriors,"MA Chidambaram Stadium, Chepauk",SPD Smith
400,IPL-2013,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",MS Gony
401,IPL-2013,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,M Chinnaswamy Stadium,V Kohli
402,IPL-2013,Sunrisers Hyderabad,Pune Warriors,Sunrisers Hyderabad,Subrata Roy Sahara Stadium,A Mishra
403,IPL-2013,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,AM Rahane
404,IPL-2013,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,MEK Hussey
405,IPL-2013,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",GH Vihari
406,IPL-2013,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Eden Gardens,RA Jadeja
407,IPL-2013,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,M Chinnaswamy Stadium,R Vinay Kumar
408,IPL-2013,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Feroz Shah Kotla,V Sehwag
409,IPL-2013,Pune Warriors,Kings XI Punjab,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",DA Miller
410,IPL-2013,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",MEK Hussey
411,IPL-2013,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,M Chinnaswamy Stadium,CH Gayle
412,IPL-2013,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,DA Miller
413,IPL-2013,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Eden Gardens,DR Smith
414,IPL-2013,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",MS Dhoni
415,IPL-2013,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens,JH Kallis
416,IPL-2013,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium,JP Faulkner
417,IPL-2013,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,DR Smith
418,IPL-2013,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",MEK Hussey
419,IPL-2013,Delhi Daredevils,Pune Warriors,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,DA Warner
420,IPL-2013,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium,SV Samson
421,IPL-2013,Mumbai Indians,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,RG Sharma
422,IPL-2013,Chennai Super Kings,Pune Warriors,Chennai Super Kings,Subrata Roy Sahara Stadium,MS Dhoni
423,IPL-2013,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",I Sharma
424,IPL-2013,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,DA Warner
425,IPL-2013,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",SK Raina
426,IPL-2013,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,Subrata Roy Sahara Stadium,AB de Villiers
427,IPL-2013,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens,YK Pathan
428,IPL-2013,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",DJG Sammy
429,IPL-2013,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,M Chinnaswamy Stadium,AC Gilchrist
430,IPL-2013,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,MG Johnson
431,IPL-2013,Pune Warriors,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium,AM Rahane
432,IPL-2013,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,M Chinnaswamy Stadium,V Kohli
433,IPL-2013,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium,AM Rahane
434,IPL-2013,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,SR Tendulkar
435,IPL-2013,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",SK Raina
436,IPL-2013,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",KK Cooper
437,IPL-2013,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,Subrata Roy Sahara Stadium,G Gambhir
438,IPL-2013,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,JD Unadkat
439,IPL-2013,Pune Warriors,Mumbai Indians,Mumbai Indians,Subrata Roy Sahara Stadium,MG Johnson
440,IPL-2013,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",PA Patel
441,IPL-2013,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,JSCA International Stadium Complex,JH Kallis
442,IPL-2013,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium,SR Watson
443,IPL-2013,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Feroz Shah Kotla,Harmeet Singh
444,IPL-2013,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Wankhede Stadium,KA Pollard
445,IPL-2013,Pune Warriors,Kolkata Knight Riders,Pune Warriors,JSCA International Stadium Complex,MK Pandey
446,IPL-2013,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",MS Dhoni
447,IPL-2013,Mumbai Indians,Rajasthan Royals,Mumbai Indians,Wankhede Stadium,AP Tare
448,IPL-2013,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",DA Miller
449,IPL-2013,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",A Mishra
450,IPL-2013,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Azhar Mahmood
451,IPL-2013,Pune Warriors,Delhi Daredevils,Pune Warriors,Subrata Roy Sahara Stadium,LJ Wright
