id,Season,team1,team2,winner,venue,player_of_match
11143,IPL-2019,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,M. Chinnaswamy Stadium,JJ Bumrah
11144,IPL-2019,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Rashid Khan
11145,IPL-2019,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,IS Bindra Stadium,MA Agarwal
11146,IPL-2019,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Feroz Shah Kotla Ground,P Shaw
11147,IPL-2019,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,J Bairstow
11148,IPL-2019,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,M. A. Chidambaram Stadium,MS Dhoni
11149,IPL-2019,Kings XI Punjab,Delhi Capitals,Kings XI Punjab,IS Bindra Stadium,S Curran
11150,IPL-2019,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium,S Gopal
11151,IPL-2019,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,HH Pandya
11152,IPL-2019,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Feroz Shah Kotla Ground,J Bairstow
11153,IPL-2019,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,M. Chinnaswamy Stadium,AD Russell
11309,IPL-2019,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,M. A. Chidambaram Stadium,Harbhajan Singh
11310,IPL-2019,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Rajiv Gandhi Intl. Cricket Stadium,A Joseph
11311,IPL-2019,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,M. Chinnaswamy Stadium,K Rabada
11312,IPL-2019,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Sawai Mansingh Stadium,H Gurney
11313,IPL-2019,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,IS Bindra Stadium,KL Rahul
11314,IPL-2019,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,M. A. Chidambaram Stadium,DL Chahar
11315,IPL-2019,Kings XI Punjab,Mumbai Indians,Mumbai Indians,Wankhede Stadium,KA Pollard
11316,IPL-2019,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Sawai Mansingh Stadium,MS Dhoni
11317,IPL-2019,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Eden Gardens,S Dhawan
11318,IPL-2019,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Wankhede Stadium,JC Buttler
11319,IPL-2019,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,IS Bindra Stadium,AB de Villiers
11320,IPL-2019,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Eden Gardens,Imran Tahir
11321,IPL-2019,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Rajiv Gandhi Intl. Cricket Stadium,K Paul
11322,IPL-2019,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Wankhede Stadium,SL Malinga
